source_label,source,relation,target_label,target
Character,Agent Bob,HAS_SPEED,Stat,13
Character,Agent Bob,HAS_DURABILITY,Stat,5
Character,Agent Bob,HAS_POWER,Stat,5
Character,Agent Bob,HAS_COMBAT,Stat,20
Character,Agent Zero,HAS_GENDER,Gender,Male
Character,Agent Zero,HAS_RACE,Race,
Character,Agent Zero,HAS_ALIGNMENT,Alignment,good
Character,Agent Zero,HAS_PUBLISHER,Publisher,Marvel Comics
Character,Agent Zero,HAS_OCCUPATION,Occupation,"Mercenary, former government operative, freedom fighter"
Character,Agent Zero,HAS_INTELLIGENCE,Stat,75
Character,Agent Zero,HAS_STRENGTH,Stat,28
Character,Agent Zero,HAS_SPEED,Stat,38
Character,Agent Zero,HAS_DURABILITY,Stat,80
Character,Agent Zero,HAS_POWER,Stat,72
Character,Agent Zero,HAS_COMBAT,Stat,95
Character,Air-Walker,HAS_GENDER,Gender,Male
Character,Air-Walker,HAS_RACE,Race,
Character,Air-Walker,HAS_ALIGNMENT,Alignment,bad
Character,Air-Walker,HAS_PUBLISHER,Publisher,Marvel Comics
Character,Air-Walker,HAS_OCCUPATION,Occupation,"Former starship captain, Herald of Galactus"
Character,Air-Walker,HAS_INTELLIGENCE,Stat,50
Character,Air-Walker,HAS_STRENGTH,Stat,85
Character,Air-Walker,HAS_SPEED,Stat,100
Character,Air-Walker,HAS_DURABILITY,Stat,85
Character,Air-Walker,HAS_POWER,Stat,100
Character,Air-Walker,HAS_COMBAT,Stat,40
Character,Ajax,HAS_GENDER,Gender,Male
Character,Ajax,HAS_RACE,Race,Cyborg
Character,Ajax,HAS_ALIGNMENT,Alignment,bad
Character,Ajax,HAS_PUBLISHER,Publisher,Marvel Comics
Character,Ajax,HAS_OCCUPATION,Occupation,-
Character,Ajax,HAS_INTELLIGENCE,Stat,56
Character,Ajax,HAS_STRENGTH,Stat,48
Character,Ajax,HAS_SPEED,Stat,35
Character,Ajax,HAS_DURABILITY,Stat,80
Character,Ajax,HAS_POWER,Stat,34
Character,Ajax,HAS_COMBAT,Stat,55
Character,Alan Scott,HAS_GENDER,Gender,Male
Character,Alan Scott,HAS_RACE,Race,
Character,Alan Scott,HAS_ALIGNMENT,Alignment,good
Character,Alan Scott,HAS_PUBLISHER,Publisher,DC Comics
Character,Alan Scott,HAS_OCCUPATION,Occupation,-
Character,Alan Scott,HAS_INTELLIGENCE,Stat,63
Character,Alan Scott,HAS_STRENGTH,Stat,80
Character,Alan Scott,HAS_SPEED,Stat,23
Character,Alan Scott,HAS_DURABILITY,Stat,90
Character,Alan Scott,HAS_POWER,Stat,100
Character,Alan Scott,HAS_COMBAT,Stat,32
Character,Alex Mercer,HAS_GENDER,Gender,Male
Character,Alex Mercer,HAS_RACE,Race,Human
Character,Alex Mercer,HAS_ALIGNMENT,Alignment,bad
Character,Alex Mercer,HAS_PUBLISHER,Publisher,Wildstorm
Character,Alex Mercer,HAS_OCCUPATION,Occupation,-
Character,Alex Mercer,HAS_INTELLIGENCE,Stat,50
Character,Alex Mercer,HAS_STRENGTH,Stat,80
Character,Alex Mercer,HAS_SPEED,Stat,42
Character,Alex Mercer,HAS_DURABILITY,Stat,90
Character,Alex Mercer,HAS_POWER,Stat,100
Character,Alex Mercer,HAS_COMBAT,Stat,50
Character,Alfred Pennyworth,HAS_GENDER,Gender,Male
Character,Alfred Pennyworth,HAS_RACE,Race,Human
Character,Alfred Pennyworth,HAS_ALIGNMENT,Alignment,good
Character,Alfred Pennyworth,HAS_PUBLISHER,Publisher,DC Comics
Character,Alfred Pennyworth,HAS_OCCUPATION,Occupation,"Butler; Caretaker, former Actor; Field Medic; Government Agent"
Character,Alfred Pennyworth,HAS_INTELLIGENCE,Stat,63
Character,Alfred Pennyworth,HAS_STRENGTH,Stat,10
Character,Alfred Pennyworth,HAS_SPEED,Stat,17
Character,Alfred Pennyworth,HAS_DURABILITY,Stat,10
Character,Alfred Pennyworth,HAS_POWER,Stat,7
Character,Alfred Pennyworth,HAS_COMBAT,Stat,55
Character,Alien,HAS_GENDER,Gender,Male
Character,Alien,HAS_RACE,Race,Xenomorph XX121
Character,Alien,HAS_ALIGNMENT,Alignment,bad
Character,Alien,HAS_PUBLISHER,Publisher,Dark Horse Comics
Character,Alien,HAS_OCCUPATION,Occupation,-
Character,Alien,HAS_INTELLIGENCE,Stat,50
Character,Alien,HAS_STRENGTH,Stat,28
Character,Alien,HAS_SPEED,Stat,42
Character,Alien,HAS_DURABILITY,Stat,90
Character,Alien,HAS_POWER,Stat,57
Character,Alien,HAS_COMBAT,Stat,60
Character,Amazo,HAS_GENDER,Gender,Male
Character,Amazo,HAS_RACE,Race,Android
Character,Amazo,HAS_ALIGNMENT,Alignment,bad
Character,Amazo,HAS_PUBLISHER,Publisher,DC Comics
Character,Amazo,HAS_OCCUPATION,Occupation,-
Character,Amazo,HAS_INTELLIGENCE,Stat,63
Character,Amazo,HAS_STRENGTH,Stat,100
Character,Amazo,HAS_SPEED,Stat,83
Character,Amazo,HAS_DURABILITY,Stat,100
Character,Amazo,HAS_POWER,Stat,100
Character,Amazo,HAS_COMBAT,Stat,100
Character,Angel,HAS_GENDER,Gender,Male
Character,Angel,HAS_RACE,Race,Vampire
Character,Angel,HAS_ALIGNMENT,Alignment,good
Character,Angel,HAS_PUBLISHER,Publisher,Dark Horse Comics
Character,Angel,HAS_OCCUPATION,Occupation,-
Character,Angel,HAS_INTELLIGENCE,Stat,75
Character,Angel,HAS_STRENGTH,Stat,30
Character,Angel,HAS_SPEED,Stat,58
Character,Angel,HAS_DURABILITY,Stat,90
Character,Angel,HAS_POWER,Stat,100
Character,Angel,HAS_COMBAT,Stat,75
Character,Angel,HAS_GENDER,Gender,Male
Character,Angel,HAS_RACE,Race,
Character,Angel,HAS_ALIGNMENT,Alignment,good
Character,Angel,HAS_PUBLISHER,Publisher,Archangel
Character,Angel,HAS_OCCUPATION,Occupation,"Adventurer, chairman & principal stockholder of Worthington Industries, former terrorist"
Character,Angel,HAS_INTELLIGENCE,Stat,63
Character,Angel,HAS_STRENGTH,Stat,13
Character,Angel,HAS_SPEED,Stat,46
Character,Angel,HAS_DURABILITY,Stat,64
Character,Angel,HAS_POWER,Stat,28
Character,Angel,HAS_COMBAT,Stat,42
Character,Angel Dust,HAS_GENDER,Gender,Female
Character,Angel Dust,HAS_RACE,Race,Mutant
Character,Angel Dust,HAS_ALIGNMENT,Alignment,good
Character,Angel Dust,HAS_PUBLISHER,Publisher,Marvel Comics
Character,Angel Dust,HAS_OCCUPATION,Occupation,-
Character,Angel Dust,HAS_INTELLIGENCE,Stat,38
Character,Angel Dust,HAS_STRENGTH,Stat,55
Character,Angel Dust,HAS_SPEED,Stat,23
Character,Angel Dust,HAS_DURABILITY,Stat,42
Character,Angel Dust,HAS_POWER,Stat,17
Character,Angel Dust,HAS_COMBAT,Stat,30
Character,Angel Salvadore,HAS_GENDER,Gender,Female
Character,Angel Salvadore,HAS_RACE,Race,
Character,Angel Salvadore,HAS_ALIGNMENT,Alignment,good
Character,Angel Salvadore,HAS_PUBLISHER,Publisher,Tempest
Character,Angel Salvadore,HAS_OCCUPATION,Occupation,-
Character,Angel Salvadore,HAS_INTELLIGENCE,Stat,38
Character,Angel Salvadore,HAS_STRENGTH,Stat,10
Character,Angel Salvadore,HAS_SPEED,Stat,28
Character,Angel Salvadore,HAS_DURABILITY,Stat,28
Character,Angel Salvadore,HAS_POWER,Stat,56
Character,Angel Salvadore,HAS_COMBAT,Stat,60
Character,Animal Man,HAS_GENDER,Gender,Male
Character,Animal Man,HAS_RACE,Race,Human
Character,Animal Man,HAS_ALIGNMENT,Alignment,good
Character,Animal Man,HAS_PUBLISHER,Publisher,DC Comics
Character,Animal Man,HAS_OCCUPATION,Occupation,-
Character,Animal Man,HAS_INTELLIGENCE,Stat,56
Character,Animal Man,HAS_STRENGTH,Stat,48
Character,Animal Man,HAS_SPEED,Stat,47
Character,Animal Man,HAS_DURABILITY,Stat,85
Character,Animal Man,HAS_POWER,Stat,73
Character,Animal Man,HAS_COMBAT,Stat,80
Character,Annihilus,HAS_GENDER,Gender,Male
Character,Annihilus,HAS_RACE,Race,
Character,Annihilus,HAS_ALIGNMENT,Alignment,bad
Character,Annihilus,HAS_PUBLISHER,Publisher,Marvel Comics
Character,Annihilus,HAS_OCCUPATION,Occupation,"Conqueror, scavenger"
Character,Annihilus,HAS_INTELLIGENCE,Stat,75
Character,Annihilus,HAS_STRENGTH,Stat,80
Character,Annihilus,HAS_SPEED,Stat,47
Character,Annihilus,HAS_DURABILITY,Stat,56
Character,Annihilus,HAS_POWER,Stat,59
Character,Annihilus,HAS_COMBAT,Stat,64
Character,Ant-Man,HAS_GENDER,Gender,Male
Character,Ant-Man,HAS_RACE,Race,Human
Character,Ant-Man,HAS_ALIGNMENT,Alignment,good
Character,Ant-Man,HAS_PUBLISHER,Publisher,Giant-Man
Character,Ant-Man,HAS_OCCUPATION,Occupation,"Adventurer, Biochemist, former manager of Avengers Compound"
Character,Ant-Man,HAS_INTELLIGENCE,Stat,100
Character,Ant-Man,HAS_STRENGTH,Stat,18
Character,Ant-Man,HAS_SPEED,Stat,23
Character,Ant-Man,HAS_DURABILITY,Stat,28
Character,Ant-Man,HAS_POWER,Stat,32
Character,Ant-Man,HAS_COMBAT,Stat,32
Character,Ant-Man II,HAS_GENDER,Gender,Male
Character,Ant-Man II,HAS_RACE,Race,Human
Character,Ant-Man II,HAS_ALIGNMENT,Alignment,good
Character,Ant-Man II,HAS_PUBLISHER,Publisher,Marvel Comics
Character,Ant-Man II,HAS_OCCUPATION,Occupation,"Electronics Technician,"
Character,Ant-Man II,HAS_INTELLIGENCE,Stat,75
Character,Ant-Man II,HAS_STRENGTH,Stat,18
Character,Ant-Man II,HAS_SPEED,Stat,17
Character,Ant-Man II,HAS_DURABILITY,Stat,40
Character,Ant-Man II,HAS_POWER,Stat,53
Character,Ant-Man II,HAS_COMBAT,Stat,30
Character,Anti-Monitor,HAS_GENDER,Gender,Male
Character,Anti-Monitor,HAS_RACE,Race,God / Eternal
Character,Anti-Monitor,HAS_ALIGNMENT,Alignment,bad
Character,Anti-Monitor,HAS_PUBLISHER,Publisher,DC Comics
Character,Anti-Monitor,HAS_OCCUPATION,Occupation,-
Character,Anti-Monitor,HAS_INTELLIGENCE,Stat,88
Character,Anti-Monitor,HAS_STRENGTH,Stat,100
Character,Anti-Monitor,HAS_SPEED,Stat,50
Character,Anti-Monitor,HAS_DURABILITY,Stat,100
Character,Anti-Monitor,HAS_POWER,Stat,100
Character,Anti-Monitor,HAS_COMBAT,Stat,90
Character,Anti-Venom,HAS_GENDER,Gender,Male
Character,Anti-Venom,HAS_RACE,Race,Symbiote
Character,Anti-Venom,HAS_ALIGNMENT,Alignment,-
Character,Anti-Venom,HAS_PUBLISHER,Publisher,Toxin
Character,Anti-Venom,HAS_OCCUPATION,Occupation,Vigilante; former journalist for the Daily Globe
Character,Anti-Venom,HAS_INTELLIGENCE,Stat,75
Character,Anti-Venom,HAS_STRENGTH,Stat,60
Character,Anti-Venom,HAS_SPEED,Stat,65
Character,Anti-Venom,HAS_DURABILITY,Stat,90
Character,Anti-Venom,HAS_POWER,Stat,96
Character,Anti-Venom,HAS_COMBAT,Stat,84
Character,Apocalypse,HAS_GENDER,Gender,Male
Character,Apocalypse,HAS_RACE,Race,Mutant
Character,Apocalypse,HAS_ALIGNMENT,Alignment,bad
Character,Apocalypse,HAS_PUBLISHER,Publisher,Marvel Comics
Character,Apocalypse,HAS_OCCUPATION,Occupation,Student; formerly Conqueror; Scientist
Character,Apocalypse,HAS_INTELLIGENCE,Stat,100
Character,Apocalypse,HAS_STRENGTH,Stat,100
Character,Apocalypse,HAS_SPEED,Stat,33
Character,Apocalypse,HAS_DURABILITY,Stat,100
Character,Apocalypse,HAS_POWER,Stat,100
Character,Apocalypse,HAS_COMBAT,Stat,60
Character,Aquababy,HAS_GENDER,Gender,Male
Character,Aquababy,HAS_RACE,Race,
Character,Aquababy,HAS_ALIGNMENT,Alignment,good
Character,Aquababy,HAS_PUBLISHER,Publisher,DC Comics
Character,Aquababy,HAS_OCCUPATION,Occupation,-
Character,Aquababy,HAS_INTELLIGENCE,Stat,10
Character,Aquababy,HAS_STRENGTH,Stat,16
Character,Aquababy,HAS_SPEED,Stat,12
Character,Aquababy,HAS_DURABILITY,Stat,14
Character,Aquababy,HAS_POWER,Stat,37
Character,Aquababy,HAS_COMBAT,Stat,14
Character,Aqualad,HAS_GENDER,Gender,Male
Character,Aqualad,HAS_RACE,Race,Atlantean
Character,Aqualad,HAS_ALIGNMENT,Alignment,good
Character,Aqualad,HAS_PUBLISHER,Publisher,DC Comics
Character,Aqualad,HAS_OCCUPATION,Occupation,"Adventurer; Magician, former Sidekick"
Character,Aqualad,HAS_INTELLIGENCE,Stat,63
Character,Aqualad,HAS_STRENGTH,Stat,44
Character,Aqualad,HAS_SPEED,Stat,42
Character,Aqualad,HAS_DURABILITY,Stat,75
Character,Aqualad,HAS_POWER,Stat,89
Character,Aqualad,HAS_COMBAT,Stat,60
Character,Aquaman,HAS_GENDER,Gender,Male
Character,Aquaman,HAS_RACE,Race,Atlantean
Character,Aquaman,HAS_ALIGNMENT,Alignment,good
Character,Aquaman,HAS_PUBLISHER,Publisher,DC Comics
Character,Aquaman,HAS_OCCUPATION,Occupation,"Protector of the Seas and Oceans, King of Poseidonis"
Character,Aquaman,HAS_INTELLIGENCE,Stat,81
Character,Aquaman,HAS_STRENGTH,Stat,85
Character,Aquaman,HAS_SPEED,Stat,79
Character,Aquaman,HAS_DURABILITY,Stat,80
Character,Aquaman,HAS_POWER,Stat,100
Character,Aquaman,HAS_COMBAT,Stat,80
Character,Arachne,HAS_GENDER,Gender,Female
Character,Arachne,HAS_RACE,Race,Human
Character,Arachne,HAS_ALIGNMENT,Alignment,good
Character,Arachne,HAS_PUBLISHER,Publisher,Marvel Comics
Character,Arachne,HAS_OCCUPATION,Occupation,"Adventurer, fugitive, former government agent"
Character,Arachne,HAS_INTELLIGENCE,Stat,50
Character,Arachne,HAS_STRENGTH,Stat,48
Character,Arachne,HAS_SPEED,Stat,50
Character,Arachne,HAS_DURABILITY,Stat,70
Character,Arachne,HAS_POWER,Stat,71
Character,Arachne,HAS_COMBAT,Stat,70
Character,Archangel,HAS_GENDER,Gender,Male
Character,Archangel,HAS_RACE,Race,Mutant
Character,Archangel,HAS_ALIGNMENT,Alignment,good
Character,Archangel,HAS_PUBLISHER,Publisher,Angel
Character,Archangel,HAS_OCCUPATION,Occupation,"Adventurer, Chairman & principal stockholder of Worthington Industries, Multi-Millionaire, Heir, former terrorist"
Character,Archangel,HAS_INTELLIGENCE,Stat,63
Character,Archangel,HAS_STRENGTH,Stat,13
Character,Archangel,HAS_SPEED,Stat,58
Character,Archangel,HAS_DURABILITY,Stat,64
Character,Archangel,HAS_POWER,Stat,35
Character,Archangel,HAS_COMBAT,Stat,42
Character,Arclight,HAS_GENDER,Gender,Female
Character,Arclight,HAS_RACE,Race,
Character,Arclight,HAS_ALIGNMENT,Alignment,bad
Character,Arclight,HAS_PUBLISHER,Publisher,Marvel Comics
Character,Arclight,HAS_OCCUPATION,Occupation,Terrorist
Character,Arclight,HAS_INTELLIGENCE,Stat,38
Character,Arclight,HAS_STRENGTH,Stat,63
Character,Arclight,HAS_SPEED,Stat,23
Character,Arclight,HAS_DURABILITY,Stat,42
Character,Arclight,HAS_POWER,Stat,52
Character,Arclight,HAS_COMBAT,Stat,70
Character,Ardina,HAS_GENDER,Gender,Female
Character,Ardina,HAS_RACE,Race,Alien
Character,Ardina,HAS_ALIGNMENT,Alignment,good
Character,Ardina,HAS_PUBLISHER,Publisher,Marvel Comics
Character,Ardina,HAS_OCCUPATION,Occupation,-
Character,Ardina,HAS_INTELLIGENCE,Stat,63
Character,Ardina,HAS_STRENGTH,Stat,100
Character,Ardina,HAS_SPEED,Stat,100
Character,Ardina,HAS_DURABILITY,Stat,80
Character,Ardina,HAS_POWER,Stat,100
Character,Ardina,HAS_COMBAT,Stat,25
Character,Ares,HAS_GENDER,Gender,Male
Character,Ares,HAS_RACE,Race,
Character,Ares,HAS_ALIGNMENT,Alignment,good
Character,Ares,HAS_PUBLISHER,Publisher,Marvel Comics
Character,Ares,HAS_OCCUPATION,Occupation,-
Character,Ares,HAS_INTELLIGENCE,Stat,75
Character,Ares,HAS_STRENGTH,Stat,82
Character,Ares,HAS_SPEED,Stat,35
Character,Ares,HAS_DURABILITY,Stat,80
Character,Ares,HAS_POWER,Stat,84
Character,Ares,HAS_COMBAT,Stat,101
Character,Ariel,HAS_GENDER,Gender,Female
Character,Ariel,HAS_RACE,Race,
Character,Ariel,HAS_ALIGNMENT,Alignment,good
Character,Ariel,HAS_PUBLISHER,Publisher,Marvel Comics
Character,Ariel,HAS_OCCUPATION,Occupation,"Leader, refugee alien; former alien mutant-hunter and hedonist"
Character,Ariel,HAS_INTELLIGENCE,Stat,50
Character,Ariel,HAS_STRENGTH,Stat,10
Character,Ariel,HAS_SPEED,Stat,12
Character,Ariel,HAS_DURABILITY,Stat,14
Character,Ariel,HAS_POWER,Stat,94
Character,Ariel,HAS_COMBAT,Stat,28
Character,Armor,HAS_GENDER,Gender,Female
Character,Armor,HAS_RACE,Race,
Character,Armor,HAS_ALIGNMENT,Alignment,good
Character,Armor,HAS_PUBLISHER,Publisher,Marvel Comics
Character,Armor,HAS_OCCUPATION,Occupation,"Adventurer, student"
Character,Armor,HAS_INTELLIGENCE,Stat,50
Character,Armor,HAS_STRENGTH,Stat,63
Character,Armor,HAS_SPEED,Stat,12
Character,Armor,HAS_DURABILITY,Stat,80
Character,Armor,HAS_POWER,Stat,55
Character,Armor,HAS_COMBAT,Stat,54
Character,Atlas,HAS_GENDER,Gender,Male
Character,Atlas,HAS_RACE,Race,Mutant
Character,Atlas,HAS_ALIGNMENT,Alignment,good
Character,Atlas,HAS_PUBLISHER,Publisher,Goliath
Character,Atlas,HAS_OCCUPATION,Occupation,"Adventurer; former professional criminal, mercenary, dock worker, soldier"
Character,Atlas,HAS_INTELLIGENCE,Stat,63
Character,Atlas,HAS_STRENGTH,Stat,80
Character,Atlas,HAS_SPEED,Stat,25
Character,Atlas,HAS_DURABILITY,Stat,100
Character,Atlas,HAS_POWER,Stat,98
Character,Atlas,HAS_COMBAT,Stat,50
Character,Atlas,HAS_GENDER,Gender,Male
Character,Atlas,HAS_RACE,Race,God / Eternal
Character,Atlas,HAS_ALIGNMENT,Alignment,bad
Character,Atlas,HAS_PUBLISHER,Publisher,DC Comics
Character,Atlas,HAS_OCCUPATION,Occupation,-
Character,Atlas,HAS_INTELLIGENCE,Stat,63
Character,Atlas,HAS_STRENGTH,Stat,100
Character,Atlas,HAS_SPEED,Stat,42
Character,Atlas,HAS_DURABILITY,Stat,100
Character,Atlas,HAS_POWER,Stat,27
Character,Atlas,HAS_COMBAT,Stat,80
Character,Atom Girl,HAS_GENDER,Gender,Female
Character,Atom Girl,HAS_RACE,Race,
Character,Atom Girl,HAS_ALIGNMENT,Alignment,good
Character,Atom Girl,HAS_PUBLISHER,Publisher,DC Comics
Character,Atom Girl,HAS_OCCUPATION,Occupation,-
Character,Atom Girl,HAS_INTELLIGENCE,Stat,38
Character,Atom Girl,HAS_STRENGTH,Stat,10
Character,Atom Girl,HAS_SPEED,Stat,23
Character,Atom Girl,HAS_DURABILITY,Stat,28
Character,Atom Girl,HAS_POWER,Stat,38
Character,Atom Girl,HAS_COMBAT,Stat,42
Character,Atom II,HAS_GENDER,Gender,Male
Character,Atom II,HAS_RACE,Race,Human
Character,Atom II,HAS_ALIGNMENT,Alignment,good
Character,Atom II,HAS_PUBLISHER,Publisher,DC Comics
Character,Atom II,HAS_OCCUPATION,Occupation,Physics Professor
Character,Atom II,HAS_INTELLIGENCE,Stat,88
Character,Atom II,HAS_STRENGTH,Stat,10
Character,Atom II,HAS_SPEED,Stat,33
Character,Atom II,HAS_DURABILITY,Stat,45
Character,Atom II,HAS_POWER,Stat,40
Character,Atom II,HAS_COMBAT,Stat,60
Character,Aurora,HAS_GENDER,Gender,Female
Character,Aurora,HAS_RACE,Race,Mutant
Character,Aurora,HAS_ALIGNMENT,Alignment,good
Character,Aurora,HAS_PUBLISHER,Publisher,Marvel Comics
Character,Aurora,HAS_OCCUPATION,Occupation,"Adventurer; former terrorist, nun, history/geography teacher"
Character,Aurora,HAS_INTELLIGENCE,Stat,63
Character,Aurora,HAS_STRENGTH,Stat,10
Character,Aurora,HAS_SPEED,Stat,96
Character,Aurora,HAS_DURABILITY,Stat,60
Character,Aurora,HAS_POWER,Stat,74
Character,Aurora,HAS_COMBAT,Stat,56
Character,Azazel,HAS_GENDER,Gender,Male
Character,Azazel,HAS_RACE,Race,Neyaphem
Character,Azazel,HAS_ALIGNMENT,Alignment,bad
Character,Azazel,HAS_PUBLISHER,Publisher,Marvel Comics
Character,Azazel,HAS_OCCUPATION,Occupation,Leader of the Neyaphem
Character,Azazel,HAS_INTELLIGENCE,Stat,50
Character,Azazel,HAS_STRENGTH,Stat,11
Character,Azazel,HAS_SPEED,Stat,47
Character,Azazel,HAS_DURABILITY,Stat,95
Character,Azazel,HAS_POWER,Stat,100
Character,Azazel,HAS_COMBAT,Stat,80
Character,Azrael,HAS_GENDER,Gender,Male
Character,Azrael,HAS_RACE,Race,Human
Character,Azrael,HAS_ALIGNMENT,Alignment,good
Character,Azrael,HAS_PUBLISHER,Publisher,DC Comics
Character,Azrael,HAS_OCCUPATION,Occupation,"Former Police Officer, vigilante"
Character,Azrael,HAS_INTELLIGENCE,Stat,63
Character,Azrael,HAS_STRENGTH,Stat,18
Character,Azrael,HAS_SPEED,Stat,17
Character,Azrael,HAS_DURABILITY,Stat,20
Character,Azrael,HAS_POWER,Stat,35
Character,Azrael,HAS_COMBAT,Stat,80
Character,Bane,HAS_GENDER,Gender,Male
Character,Bane,HAS_RACE,Race,Human
Character,Bane,HAS_ALIGNMENT,Alignment,bad
Character,Bane,HAS_PUBLISHER,Publisher,DC Comics
Character,Bane,HAS_OCCUPATION,Occupation,-
Character,Bane,HAS_INTELLIGENCE,Stat,88
Character,Bane,HAS_STRENGTH,Stat,38
